District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
PILBARA DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0018142564270033925
SOUTH WEST DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,6,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.003178908998431738
SOUTH WEST DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,2,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0010596363328105793
WHEATBELT DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0035754509537515417
WHEATBELT DISTRICT,Threatening Behaviour (Family),2007-05-01,2007,May,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
ARMADALE DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,7,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.002819953994464833
ARMADALE DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,4,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0016114022825513333
CANNINGTON DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,6,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0027471143852644785
CANNINGTON DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
FREMANTLE DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,7,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.002499116383849996
FREMANTLE DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,3,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.005694220366328177
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,5,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.009490367277213628
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,2,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0005418380229414219
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,2,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0005418380229414219
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,5,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.014248261712071126
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,1,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0028496523424142253
MANDURAH DISTRICT,Threatening Behaviour (Family),2007-06-01,2007,June,5,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.00172461963513947
